similarity,params,K_NEIGH,K_PRED,RMSE,MAE,Coverage
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 5}",10,40,0.9918174748337176,0.7803572897919886,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 10}",10,5,0.9918613845455743,0.7780492355649836,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 10}",10,10,0.9918174748337176,0.7803572897919886,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 10}",10,20,0.9918174748337176,0.7803572897919886,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 10}",10,40,0.9918174748337176,0.7803572897919886,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 20}",10,5,0.9956203836092444,0.779944596169255,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 20}",10,10,0.9894100518305003,0.7792627177535396,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 20}",10,20,0.9894100518305003,0.7792627177535396,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 20}",10,40,0.9894100518305003,0.7792627177535396,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",25,5,0.9858978961655149,0.7749397931874799,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",25,10,0.9858260184545077,0.7736454256071429,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",25,20,0.9749527289079771,0.770703918506608,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",25,40,0.9687995957982751,0.7645680409865027,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",25,5,0.9817012053362741,0.7709373426493252,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",25,10,0.9867242755646619,0.7773778606211778,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",25,20,0.9775314998376784,0.7730366706651856,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",25,40,0.9660666468802159,0.7626419327934777,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",25,5,0.9955902858581636,0.7798564090787821,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",25,10,0.9858331753912957,0.7759105947158242,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",25,20,0.9675302776322312,0.7636328718430883,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",25,40,0.9636811805676894,0.7621535876489582,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",25,5,0.9852464060967729,0.7729689225488052,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",25,10,0.9881783062350901,0.7776320876769564,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",25,20,0.9690269297196451,0.7647926969392738,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",25,40,0.9638260070660188,0.7603385666175637,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",25,5,0.982750901061898,0.7698563809445639,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",25,10,0.985959566725923,0.7771262150809072,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",25,20,0.9694079954418525,0.7645778914641972,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",25,40,0.9639018235171042,0.7600038088415884,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 20}",25,5,0.9949616131543071,0.7786464155298668,1.0
